Accessions,10C,18C,18T,19T,3T,4T,5C,8C
A0A059QPE9,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QPU3,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QPY9,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QQA7,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QS59,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QTW9,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059QVH0,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059R1T0,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RI53,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RI85,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RIQ8,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RIZ2,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RJF0,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RKP1,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RKX5,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RLH3,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RMK0,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RNF8,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RNV8,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RP05,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RPV8,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RQ10,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RQI1,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RQQ2,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RQT0,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RR09,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RRR2,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RSL1,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RTG7,NA,NA,NA,6.41E-05,NA,NA,NA,NA
A0A059RTZ6,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RUP9,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059RUZ1,NA,NA,NA,6.24E-05,NA,NA,NA,NA
A0A059RVU8,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059S242,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059S2S6,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059S8A4,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A059SAH5,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A060N0U0,NA,0.000267891,NA,NA,NA,NA,NA,NA
A0A068BY99,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A068IXK4,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A075B6K4,NA,8.53E-05,NA,NA,NA,NA,0.000207881,NA
A0A075B6Q0,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B716,NA,7.94E-05,NA,NA,NA,NA,NA,NA
A0A075B7A0,0.000779699,NA,NA,NA,NA,NA,NA,NA
A0A075B7E8,NA,NA,NA,NA,NA,NA,0.00080454,NA
A0A087WSW9,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WSY5,NA,NA,NA,NA,NA,NA,5.81E-05,NA
A0A087WSY9,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WSZ2,NA,NA,NA,NA,0.000171758,NA,NA,NA
A0A087WT59,NA,0.000124088,NA,NA,NA,NA,0.000714591,NA
A0A087WT78,NA,NA,0.000320876,NA,NA,NA,NA,0.001229208
A0A087WTA8,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WTS4,NA,0.000239061,NA,NA,NA,NA,NA,NA
A0A087WTT1,NA,2.73E-05,NA,8.54E-06,NA,NA,NA,NA
A0A087WU93,NA,NA,NA,6.19E-05,NA,NA,NA,NA
A0A087WUK2,NA,NA,NA,0.000170691,NA,NA,NA,NA
A0A087WUL2,NA,4.31E-05,NA,NA,NA,NA,NA,NA
A0A087WUM2,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUW5,NA,7.71E-05,NA,7.24E-05,NA,NA,NA,NA
A0A087WUZ3,NA,1.02E-05,NA,1.88E-05,NA,NA,NA,NA
A0A087WV48,NA,0.000199905,NA,NA,NA,NA,NA,NA
A0A087WV68,NA,NA,NA,7.11E-05,NA,NA,NA,NA
A0A087WVQ6,NA,0.000135456,9.38E-05,0.000405938,0.00092277,0.000206446,NA,NA
A0A087WVQ9,0.001078329,0.002020821,NA,0.001143774,NA,NA,NA,NA
A0A087WW43,NA,NA,NA,NA,NA,NA,0.000526296,NA
A0A087WWD4,NA,NA,NA,0.000872354,NA,NA,NA,NA
A0A087WWH0,NA,0.000170206,NA,0.000127833,NA,NA,NA,NA
A0A087WX29,NA,3.30E-05,NA,NA,NA,NA,NA,NA
A0A087WXM6,NA,0.000131935,NA,9.91E-05,NA,NA,NA,NA
A0A087WXQ5,NA,NA,NA,7.54E-05,NA,NA,NA,NA
A0A087WXQ8,NA,5.83E-05,NA,NA,NA,NA,NA,NA
A0A087WY10,NA,5.57E-05,NA,NA,NA,NA,NA,NA
A0A087WYQ1,5.39E-05,NA,NA,NA,NA,NA,NA,NA
A0A087WYR3,NA,0.000233014,NA,NA,NA,NA,NA,NA
A0A087WYT3,NA,NA,NA,0.000158272,NA,NA,NA,NA
A0A087WYY0,NA,2.64E-05,NA,4.96E-05,NA,NA,NA,NA
A0A087WYY5,NA,NA,0.00072823,NA,0.00128682,NA,NA,NA
A0A087WZ71,NA,NA,NA,3.36E-05,NA,NA,NA,NA
A0A087WZJ5,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WZM5,NA,0.000246691,NA,NA,NA,NA,NA,NA
A0A087WZQ6,NA,NA,NA,6.06E-05,NA,NA,NA,NA
A0A087X0X3,NA,6.72E-05,NA,0.000107818,NA,NA,NA,NA
A0A087X1E1,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X1E4,0.000115079,NA,NA,NA,NA,NA,NA,NA
A0A087X1I3,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X1J7,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X1X7,NA,2.69E-05,NA,NA,NA,NA,NA,NA
A0A087X1Z3,NA,6.32E-05,NA,NA,NA,NA,NA,NA
A0A087X208,NA,NA,NA,4.77E-06,NA,NA,NA,NA
A0A087X260,NA,2.67E-05,NA,5.01E-05,NA,NA,NA,NA
A0A087X2D0,NA,0.000150212,NA,NA,NA,NA,NA,NA
A0A087X2G1,NA,NA,NA,3.42E-05,NA,NA,NA,NA
A0A090N8I7,NA,NA,NA,NA,NA,0.000289819,NA,NA
A0A090N8Y2,NA,0.000161783,NA,5.06E-05,NA,NA,NA,NA
A0A096LNH5,NA,NA,NA,8.74E-05,NA,NA,NA,NA
A0A096LP69,NA,0.000135721,NA,NA,NA,NA,NA,NA
A0A096LPE2,NA,NA,NA,NA,NA,NA,0.001982616,NA
A0A096LPI6,NA,NA,NA,5.70E-05,NA,NA,NA,NA
A0A097PWR7,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A097PWY7,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A097Q0T5,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A0A0MQT0,NA,0.000172038,NA,NA,NA,NA,NA,NA
